poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
2,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
3,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,ship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
9,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
10,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,church,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
13,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
15,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
16,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
18,stands,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
23,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
24,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
25,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
29,railway_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,houseboat,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
33,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,stage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
36,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
37,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
38,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
40,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
43,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,kindergarten,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
45,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
46,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
47,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
49,doctors,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
50,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
51,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
52,dentist,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
53,gatehouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
54,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
55,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
56,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
57,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
58,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
59,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
